date,gspc,cpi,interest_rate_pct
1912-12-31,,9.8,
1913-01-31,,9.8,
1913-02-28,,9.8,
1913-03-31,,9.8,
1913-04-30,,9.7,
1913-05-31,,9.8,
1913-06-30,,9.9,
1913-07-31,,9.9,
1913-08-31,,10.0,
1913-09-30,,10.0,
1913-10-31,,10.1,
1913-11-30,,10.0,
1913-12-31,,10.0,
1914-01-31,,9.9,
1914-02-28,,9.9,
1914-03-31,,9.8,
1914-04-30,,9.9,
1914-05-31,,9.9,
1914-06-30,,10.0,
1914-07-31,,10.2,
1914-08-31,,10.2,
1914-09-30,,10.1,
1914-10-31,,10.2,
1914-11-30,,10.1,
1914-12-31,,10.1,
1915-01-31,,10.0,
1915-02-28,,9.9,
1915-03-31,,10.0,
1915-04-30,,10.1,
1915-05-31,,10.1,
1915-06-30,,10.1,
1915-07-31,,10.1,
1915-08-31,,10.1,
1915-09-30,,10.2,
1915-10-31,,10.3,
1915-11-30,,10.3,
1915-12-31,,10.4,
1916-01-31,,10.4,
1916-02-29,,10.5,
1916-03-31,,10.6,
1916-04-30,,10.7,
1916-05-31,,10.8,
1916-06-30,,10.8,
1916-07-31,,10.9,
1916-08-31,,11.1,
1916-09-30,,11.3,
1916-10-31,,11.5,
1916-11-30,,11.6,
1916-12-31,,11.7,
1917-01-31,,12.0,
1917-02-28,,12.0,
1917-03-31,,12.6,
1917-04-30,,12.8,
1917-05-31,,13.0,
1917-06-30,,12.8,
1917-07-31,,13.0,
1917-08-31,,13.3,
1917-09-30,,13.5,
1917-10-31,,13.5,
1917-11-30,,13.7,
1917-12-31,,14.0,
1918-01-31,,14.1,
1918-02-28,,14.0,
1918-03-31,,14.2,
1918-04-30,,14.5,
1918-05-31,,14.7,
1918-06-30,,15.1,
1918-07-31,,15.4,
1918-08-31,,15.7,
1918-09-30,,16.0,
1918-10-31,,16.3,
1918-11-30,,16.5,
1918-12-31,,16.5,
1919-01-31,,16.2,
1919-02-28,,16.4,
1919-03-31,,16.7,
1919-04-30,,16.9,
1919-05-31,,16.9,
1919-06-30,,17.4,
1919-07-31,,17.7,
1919-08-31,,17.8,
1919-09-30,,18.1,
1919-10-31,,18.5,
1919-11-30,,18.9,
1919-12-31,,19.3,
1920-01-31,,19.5,
1920-02-29,,19.7,
1920-03-31,,20.3,
1920-04-30,,20.6,
1920-05-31,,20.9,
1920-06-30,,20.8,
1920-07-31,,20.3,
1920-08-31,,20.0,
1920-09-30,,19.9,
1920-10-31,,19.8,
1920-11-30,,19.4,
1920-12-31,,19.0,
1921-01-31,,18.4,
1921-02-28,,18.3,
1921-03-31,,18.1,
1921-04-30,,17.7,
1921-05-31,,17.6,
1921-06-30,,17.7,
1921-07-31,,17.7,
1921-08-31,,17.5,
1921-09-30,,17.5,
1921-10-31,,17.4,
1921-11-30,,17.3,
1921-12-31,,16.9,
1922-01-31,,16.9,
1922-02-28,,16.7,
1922-03-31,,16.7,
1922-04-30,,16.7,
1922-05-31,,16.7,
1922-06-30,,16.8,
1922-07-31,,16.6,
1922-08-31,,16.6,
1922-09-30,,16.7,
1922-10-31,,16.8,
1922-11-30,,16.9,
1922-12-31,,16.8,
1923-01-31,,16.8,
1923-02-28,,16.8,
1923-03-31,,16.9,
1923-04-30,,16.9,
1923-05-31,,17.0,
1923-06-30,,17.2,
1923-07-31,,17.1,
1923-08-31,,17.2,
1923-09-30,,17.3,
1923-10-31,,17.3,
1923-11-30,,17.3,
1923-12-31,,17.3,
1924-01-31,,17.2,
1924-02-29,,17.1,
1924-03-31,,17.0,
1924-04-30,,17.0,
1924-05-31,,17.0,
1924-06-30,,17.1,
1924-07-31,,17.0,
1924-08-31,,17.1,
1924-09-30,,17.2,
1924-10-31,,17.2,
1924-11-30,,17.3,
1924-12-31,,17.3,
1925-01-31,,17.2,
1925-02-28,,17.3,
1925-03-31,,17.2,
1925-04-30,,17.3,
1925-05-31,,17.5,
1925-06-30,,17.7,
1925-07-31,,17.7,
1925-08-31,,17.7,
1925-09-30,,17.7,
1925-10-31,,18.0,
1925-11-30,,17.9,
1925-12-31,,17.9,
1926-01-31,,17.9,
1926-02-28,,17.8,
1926-03-31,,17.9,
1926-04-30,,17.8,
1926-05-31,,17.7,
1926-06-30,,17.5,
1926-07-31,,17.4,
1926-08-31,,17.5,
1926-09-30,,17.6,
1926-10-31,,17.7,
1926-11-30,,17.7,
1926-12-31,,17.5,
1927-01-31,,17.4,
1927-02-28,,17.3,
1927-03-31,,17.3,
1927-04-30,,17.4,
1927-05-31,,17.6,
1927-06-30,,17.3,
1927-07-31,,17.2,
1927-08-31,,17.3,
1927-09-30,,17.4,
1927-10-31,,17.3,
1927-11-30,,17.3,
1927-12-31,,17.3,
1928-01-31,,17.1,
1928-02-29,,17.1,
1928-03-31,,17.1,
1928-04-30,,17.2,
1928-05-31,,17.1,
1928-06-30,,17.1,
1928-07-31,,17.1,
1928-08-31,,17.3,
1928-09-30,,17.2,
1928-10-31,,17.2,
1928-11-30,,17.1,
1928-12-31,,17.1,
1929-01-31,,17.1,
1929-02-28,,17.0,
1929-03-31,,16.9,
1929-04-30,,17.0,
1929-05-31,,17.1,
1929-06-30,,17.3,
1929-07-31,,17.3,
1929-08-31,,17.3,
1929-09-30,,17.3,
1929-10-31,,17.3,
1929-11-30,,17.2,
1929-12-31,,17.1,
1930-01-31,,17.0,
1930-02-28,,16.9,
1930-03-31,,17.0,
1930-04-30,,16.9,
1930-05-31,,16.8,
1930-06-30,,16.6,
1930-07-31,,16.5,
1930-08-31,,16.6,
1930-09-30,,16.5,
1930-10-31,,16.4,
1930-11-30,,16.1,
1930-12-31,,15.9,
1931-01-31,,15.7,
1931-02-28,,15.6,
1931-03-31,,15.5,
1931-04-30,,15.3,
1931-05-31,,15.1,
1931-06-30,,15.1,
1931-07-31,,15.1,
1931-08-31,,15.0,
1931-09-30,,14.9,
1931-10-31,,14.7,
1931-11-30,,14.6,
1931-12-31,,14.3,
1932-01-31,,14.1,
1932-02-29,,14.0,
1932-03-31,,13.9,
1932-04-30,,13.7,
1932-05-31,,13.6,
1932-06-30,,13.6,
1932-07-31,,13.5,
1932-08-31,,13.4,
1932-09-30,,13.3,
1932-10-31,,13.2,
1932-11-30,,13.1,
1932-12-31,,12.9,
1933-01-31,,12.7,
1933-02-28,,12.6,
1933-03-31,,12.6,
1933-04-30,,12.6,
1933-05-31,,12.7,
1933-06-30,,13.1,
1933-07-31,,13.2,
1933-08-31,,13.2,
1933-09-30,,13.2,
1933-10-31,,13.2,
1933-11-30,,13.2,
1933-12-31,,13.2,
1934-01-31,,13.3,
1934-02-28,,13.3,
1934-03-31,,13.3,
1934-04-30,,13.3,
1934-05-31,,13.4,
1934-06-30,,13.4,
1934-07-31,,13.4,
1934-08-31,,13.6,
1934-09-30,,13.5,
1934-10-31,,13.5,
1934-11-30,,13.4,
1934-12-31,,13.6,
1935-01-31,,13.7,
1935-02-28,,13.7,
1935-03-31,,13.8,
1935-04-30,,13.8,
1935-05-31,,13.7,
1935-06-30,,13.7,
1935-07-31,,13.7,
1935-08-31,,13.7,
1935-09-30,,13.7,
1935-10-31,,13.8,
1935-11-30,,13.8,
1935-12-31,,13.8,
1936-01-31,,13.8,
1936-02-29,,13.7,
1936-03-31,,13.7,
1936-04-30,,13.7,
1936-05-31,,13.8,
1936-06-30,,13.9,
1936-07-31,,14.0,
1936-08-31,,14.0,
1936-09-30,,14.0,
1936-10-31,,14.0,
1936-11-30,,14.0,
1936-12-31,,14.1,
1937-01-31,,14.1,
1937-02-28,,14.2,
1937-03-31,,14.3,
1937-04-30,,14.4,
1937-05-31,,14.4,
1937-06-30,,14.5,
1937-07-31,,14.5,
1937-08-31,,14.6,
1937-09-30,,14.6,
1937-10-31,,14.5,
1937-11-30,,14.4,
1937-12-31,,14.2,
1938-01-31,,14.1,
1938-02-28,,14.1,
1938-03-31,,14.2,
1938-04-30,,14.1,
1938-05-31,,14.1,
1938-06-30,,14.1,
1938-07-31,,14.1,
1938-08-31,,14.1,
1938-09-30,,14.0,
1938-10-31,,14.0,
1938-11-30,,14.0,
1938-12-31,,14.0,
1939-01-31,,13.9,
1939-02-28,,13.9,
1939-03-31,,13.8,
1939-04-30,,13.8,
1939-05-31,,13.8,
1939-06-30,,13.8,
1939-07-31,,13.8,
1939-08-31,,14.1,
1939-09-30,,14.0,
1939-10-31,,14.0,
1939-11-30,,14.0,
1939-12-31,,13.9,
1940-01-31,,14.0,
1940-02-29,,14.0,
1940-03-31,,14.0,
1940-04-30,,14.0,
1940-05-31,,14.1,
1940-06-30,,14.0,
1940-07-31,,14.0,
1940-08-31,,14.0,
1940-09-30,,14.0,
1940-10-31,,14.0,
1940-11-30,,14.1,
1940-12-31,,14.1,
1941-01-31,,14.1,
1941-02-28,,14.2,
1941-03-31,,14.3,
1941-04-30,,14.4,
1941-05-31,,14.7,
1941-06-30,,14.7,
1941-07-31,,14.9,
1941-08-31,,15.1,
1941-09-30,,15.3,
1941-10-31,,15.4,
1941-11-30,,15.5,
1941-12-31,,15.7,
1942-01-31,,15.8,
1942-02-28,,16.0,
1942-03-31,,16.1,
1942-04-30,,16.3,
1942-05-31,,16.3,
1942-06-30,,16.4,
1942-07-31,,16.5,
1942-08-31,,16.5,
1942-09-30,,16.7,
1942-10-31,,16.8,
1942-11-30,,16.9,
1942-12-31,,16.9,
1943-01-31,,16.9,
1943-02-28,,17.2,
1943-03-31,,17.4,
1943-04-30,,17.5,
1943-05-31,,17.5,
1943-06-30,,17.4,
1943-07-31,,17.3,
1943-08-31,,17.4,
1943-09-30,,17.4,
1943-10-31,,17.4,
1943-11-30,,17.4,
1943-12-31,,17.4,
1944-01-31,,17.4,
1944-02-29,,17.4,
1944-03-31,,17.5,
1944-04-30,,17.5,
1944-05-31,,17.6,
1944-06-30,,17.7,
1944-07-31,,17.7,
1944-08-31,,17.7,
1944-09-30,,17.7,
1944-10-31,,17.7,
1944-11-30,,17.8,
1944-12-31,,17.8,
1945-01-31,,17.8,
1945-02-28,,17.8,
1945-03-31,,17.8,
1945-04-30,,17.9,
1945-05-31,,18.1,
1945-06-30,,18.1,
1945-07-31,,18.1,
1945-08-31,,18.1,
1945-09-30,,18.1,
1945-10-31,,18.1,
1945-11-30,,18.2,
1945-12-31,,18.2,
1946-01-31,,18.1,
1946-02-28,,18.3,
1946-03-31,,18.4,
1946-04-30,,18.5,
1946-05-31,,18.7,
1946-06-30,,19.8,
1946-07-31,,20.2,
1946-08-31,,20.4,
1946-09-30,,20.8,
1946-10-31,,21.3,
1946-11-30,,21.5,
1946-12-31,,21.5,
1947-01-31,,21.5,
1947-02-28,,21.9,
1947-03-31,,21.9,
1947-04-30,,21.9,
1947-05-31,,22.0,
1947-06-30,,22.2,
1947-07-31,,22.5,
1947-08-31,,23.0,
1947-09-30,,23.0,
1947-10-31,,23.1,
1947-11-30,,23.4,
1947-12-31,,23.7,
1948-01-31,,23.5,
1948-02-29,,23.4,
1948-03-31,,23.8,
1948-04-30,,23.9,
1948-05-31,,24.1,
1948-06-30,,24.4,
1948-07-31,,24.5,
1948-08-31,,24.5,
1948-09-30,,24.4,
1948-10-31,,24.2,
1948-11-30,,24.1,
1948-12-31,,24.0,
1949-01-31,,23.8,
1949-02-28,,23.8,
1949-03-31,,23.9,
